STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,PCICBSA10,PCINECTA10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
17,26710,02398892,1726710,Ford Heights,Ford Heights village,47,C1,N,N,G4110,A,5041149,0,+41.5108982,-087.5814303
17,26571,02398889,1726571,Flossmoor,Flossmoor village,47,C1,N,N,G4110,A,9473245,0,+41.5391222,-087.6857021
17,24634,02398846,1724634,Evergreen Park,Evergreen Park village,47,C1,N,N,G4110,A,8187561,0,+41.7212787,-087.7013299
17,24582,02394709,1724582,Evanston,Evanston city,25,C1,Y,N,G4110,A,20148004,57390,+42.0463909,-087.6943525
17,23724,02398817,1723724,Elmwood Park,Elmwood Park village,47,C1,N,N,G4110,A,4940054,0,+41.9224644,-087.8163165
17,21904,02398777,1721904,East Hazel Crest,East Hazel Crest village,47,C1,N,N,G4110,A,2031301,0,+41.5757986,-087.6502727
17,20292,02398734,1720292,Dolton,Dolton village,47,C1,N,N,G4110,A,11822944,311951,+41.6302744,-087.5968390
17,20149,02398731,1720149,Dixmoor,Dixmoor village,47,C1,N,N,G4110,A,3233592,0,+41.6329506,-087.6672327
17,19642,02394524,1719642,Des Plaines,Des Plaines city,25,C1,Y,N,G4110,A,36993438,348855,+42.0351183,-087.9010720
17,17497,02398649,1717497,Crestwood,Crestwood village,47,C1,N,N,G4110,A,7889050,72892,+41.6455985,-087.7400776
17,16873,02393653,1716873,Countryside,Countryside city,25,C1,N,N,G4110,A,7454986,0,+41.7742067,-087.8752243
17,16691,02393651,1716691,Country Club Hills,Country Club Hills city,25,C1,N,N,G4110,A,12479552,45922,+41.5634529,-087.7254095
17,14351,02396647,1714351,Cicero,Cicero town,43,C1,N,N,G4110,A,15189098,0,+41.8445374,-087.7592875
17,14065,02397620,1714065,Chicago Ridge,Chicago Ridge village,47,C1,N,N,G4110,A,5838493,0,+41.7033747,-087.7794650
17,14026,02393512,1714026,Chicago Heights,Chicago Heights city,25,C1,N,N,G4110,A,26094060,33941,+41.5106847,-087.6346721
17,10513,02397534,1710513,Calumet Park,Calumet Park village,47,C1,N,N,G4110,A,2881060,92475,+41.6657352,-087.6576504
17,10487,02393502,1710487,Calumet City,Calumet City city,25,C1,N,N,G4110,A,18610059,322264,+41.5964953,-087.5379678
17,09798,02397502,1709798,Burnham,Burnham village,47,C1,N,N,G4110,A,4834653,222953,+41.6394802,-087.5449604
17,09642,02393465,1709642,Burbank,Burbank city,25,C1,N,N,G4110,A,10806583,0,+41.7444240,-087.7685234
17,08576,02397465,1708576,Brookfield,Brookfield village,47,C1,N,N,G4110,A,7933369,17368,+41.8250594,-087.8475457
17,08446,02397460,1708446,Broadview,Broadview village,47,C1,N,N,G4110,A,4603684,0,+41.8583708,-087.8561912
17,08225,02397453,1708225,Bridgeview,Bridgeview village,47,C1,N,N,G4110,A,10755057,0,+41.7401827,-087.8066493
17,06704,02394203,1706704,Blue Island,Blue Island city,25,C1,N,N,G4110,A,10544265,223341,+41.6575701,-087.6811256
17,05573,02394154,1705573,Berwyn,Berwyn city,25,C1,N,N,G4110,A,10113911,0,+41.8433321,-087.7909242
17,05404,02398101,1705404,Berkeley,Berkeley village,47,C1,N,N,G4110,A,3626767,0,+41.8891236,-087.9114662
17,04975,02398084,1704975,Bellwood,Bellwood village,47,C1,N,N,G4110,A,6210583,0,+41.8829026,-087.8761712
17,04572,02398064,1704572,Bedford Park,Bedford Park village,47,C1,N,N,G4110,A,15356956,273533,+41.7670709,-087.7955176
17,01010,02397946,1701010,Alsip,Alsip village,47,C1,N,N,G4110,A,16549195,270086,+41.6702888,-087.7358926
17,76935,02400029,1776935,University Park,University Park village,47,C1,N,N,G4110,A,28066544,5723,+41.4460726,-087.7122754
17,75484,02399987,1775484,Tinley Park,Tinley Park village,47,C1,N,N,G4110,A,41494683,48891,+41.5680905,-087.8034325
17,72520,02399892,1772520,Steger,Steger village,47,C1,N,N,G4110,A,8945335,0,+41.4722483,-087.6177104
17,67769,02399188,1767769,Sauk Village,Sauk Village village,47,C1,N,N,G4110,A,9933618,99599,+41.4900935,-087.5706244
17,57732,02399622,1757732,Park Forest,Park Forest village,47,C1,N,N,G4110,A,12851339,0,+41.4817535,-087.6867918
17,56640,02399586,1756640,Orland Park,Orland Park village,47,C1,N,N,G4110,A,56664657,742176,+41.6080095,-087.8609800
17,47540,02399275,1747540,Matteson,Matteson village,47,C1,N,N,G4110,A,24149526,88795,+41.5093224,-087.7453204
17,27624,02398915,1727624,Frankfort,Frankfort village,47,C1,N,N,G4110,A,38802681,0,+41.4913421,-087.8394103
17,17523,02398650,1717523,Crete,Crete village,47,C1,N,N,G4110,A,24893258,44677,+41.4405240,-087.6244715
